id,data_case_id,sale_plan,coverange_deficit,surplus_coverange,total_deviation,cost_of_remunerations,margin_adjustment,created_at,updated_at,type_io,real_dot
1,1,160900572,15089963,73829391,88919354,0,44.7%,2018-11-19 14:08:37.546178,2018-11-19 14:08:37.546178,in,"{1 : 7, 2 : 3, 3 : 2, 4 : 0 , 5 : 2 , 6 : 0 , 7 : 0 , 8 : 0 , 9 : 2 , 10 : 2 , 11 : 0 , 12 : 3}"
2,1,160900572,21648676,24373104,46021780,0,71.4%,2018-11-19 14:08:37.581499,2018-11-19 14:08:37.581499,out,"{1 : 1 , 2 : 1 , 3 : 1, 4 : 1 , 5 : 2 , 6 : 1 , 7 : 0 , 8 : 0 , 9 : 1 , 10 : 2 , 11 : 1 , 12 : 4}"
3,2,157407708,14559717,76452009,91011726,0,42.2%,2018-11-19 14:08:37.613131,2018-11-19 14:08:37.613131,in,"{1 : 7, 2 : 3, 3 : 2, 4 : 0 , 5 : 2 , 6 : 0 , 7 : 0 , 8 : 0 , 9 : 2 , 10 : 2 , 11 : 0 , 12 : 3}"
4,2,157407708,20046853,25074145,45120998,0,71.3%,2018-11-19 14:08:37.63738,2018-11-19 14:08:37.63738,out,"{1 : 1 , 2 : 0 , 3 : 2 , 4 : 1 , 5 : 2, 6 : 1, 7 : 0 , 8 : 0, 9 : 1 , 10 : 2 , 11 : 2 , 12 : 3}"
5,3,157924931,19418376,51228445,70646821,0,55.3%,2018-11-19 14:08:37.674103,2018-11-19 14:08:37.674103,in,"{1 : 8, 2 : 3, 3 : 2, 4 : 0 , 5 : 2 , 6 : 0 , 7 : 0 , 8 : 0 , 9 : 2 , 10 : 2 , 11 : 0 , 12 : 4}"
6,3,157924931,23038826,21698895,44737721,0,71.7%,2018-11-19 14:08:37.711909,2018-11-19 14:08:37.711909,out,"{1 : 1, 2 : 0, 3 : 2, 4 : 2 , 5 : 3 , 6 : 0 , 7 : 1 , 8 : 0 , 9 : 2 , 10 : 2 , 11 : 2 , 12 : 4}"
7,4,159255314,15298466,75428152,90726618,0,43%,2018-11-19 14:08:37.738896,2018-11-19 14:08:37.738896,in,"{1 : 7, 2 : 3, 3 : 2, 4 : 0 , 5 : 2 , 6 : 0 , 7 : 0 , 8 : 0 , 9 : 2 , 10 : 2 , 11 : 0 , 12 : 3}"
8,4,159255314,20945151,24889837,45834988,0,71.2%,2018-11-19 14:08:37.756103,2018-11-19 14:08:37.756103,out,"{1 : 1, 2 : 1, 3 : 1, 4 : 1 , 5 : 2 , 6 : 1 , 7 : 0 , 8 : 0 , 9 : 1 , 10 : 2 , 11 : 1 , 12 : 4}"
9,5,156570712,14549705,76768993,91318698,0,41.7%,2018-11-19 14:08:37.779871,2018-11-19 14:08:37.779871,in,"{1 : 7, 2 : 3, 3 : 2, 4 : 0 , 5 : 2 , 6 : 0 , 7 : 0 , 8 : 0 , 9 : 2 , 10 : 2 , 11 : 0 , 12 : 3}"
10,5,156570712,19682686,25546974,45229660,0,71.1%,2018-11-19 14:08:37.800666,2018-11-19 14:08:37.800666,out,"{1 : 1, 2 : 0, 3 : 2, 4 : 1, 5 : 2, 6 : 1, 7 : 0, 8 : 0, 9 : 1 , 10 : 2 , 11 : 2 , 12 : 3}"
11,6,185848855,73544271,5845416,79389687,0,42.7%,2018-11-19 14:08:37.81879,2018-11-19 14:08:37.81879,in,"{1 : 1, 2 : 2, 3 : 2, 4 : 1, 5 : 1, 6 : 1, 7 : 0, 8 : 0, 9 : 0, 10 : 2, 11 : 0, 12 : 0}"
12,6,185848855,25111488,17082633,42194121,0,22.7%,2018-11-19 14:08:37.845748,2018-11-19 14:08:37.845748,out,"{1 : 1, 2 : 1, 3 : 1, 4 : 2, 5 : 2, 6 : 0, 7 : 0, 8 : 0, 9 : 0, 10 : 7, 11 : 3, 12 : 1}"
13,7,182027691,24970668,64452977,89423645,0,49.1%,2018-11-19 14:08:37.864249,2018-11-19 14:08:37.864249,in,"{1 : 7, 2 : 3, 3 : 2, 4 : 0, 5 : 2, 6 : 0, 7 : 0, 8 : 0, 9 : 2, 10 : 2, 11 : 0, 12 : 3}"
14,7,182027691,20430129,21407438,41837567,0,23.0%,2018-11-19 14:08:37.896453,2018-11-19 14:08:37.896453,out,"{1 : 1, 2 : 1, 3 : 1, 4 : 2, 5 : 2, 6 : 0, 7 : 0, 8 : 0, 9 : 0, 10 : 8, 11 : 2, 12 : 2}"
15,8,204896206,31981487,53440281,85421768,0,41.7%,2018-11-19 14:08:37.920073,2018-11-19 14:08:37.920073,in,"{1 : 7, 2 : 3, 3 : 2, 4 : 0, 5 : 2, 6 : 0, 7 : 0, 8 : 0, 9 : 2, 10 : 2, 11 : 0, 12 : 3}"
16,8,204896206,22067045,21170839,43237884,0,21.1%,2018-11-19 14:08:37.941848,2018-11-19 14:08:37.941848,out,"{1 : 1, 2 : 0, 3 : 2, 4 : 2, 5 : 3, 6 : 1, 7 : 0, 8 : 0, 9 : 0, 10 : 8, 11 : 3, 12 : 1}"
